Epoch 6/10 | Train Loss: 3.5737 PPL: 35.65 | 23612 tok/s | Time: 30982.5s (710,627,328 tok) | Val Loss: 3.4928 PPL: 32.88 *best*
Saved checkpoint: checkpoints_v7_medium_h16_flat/best_model.pt

Prompt: In 1923 , the University of
Generated: In 1923 , the University of Southern California received £ 1 @,@ 000 from the University of Southern California for their efforts to raise funds . A stu
dy in the Southern California Department of Education and the Research Council found that the university was worth £ 20 @,@ 500 ( equivalent to £ 30 @.@ 2 million
as of 2016 ) , which was a great sum . The university received £ 3 @,@ 476 @,@ 060 ( $ 5 @,@ 710 @,@ 805 in 2015 dollars )
  Quality: rep3=0.035 rep4=0.024 restarts=0 uniq=0.670

============================================================
Epoch 7/10
============================================================
  [7] 0/19277 (0%) loss=3.8169 ppl=45.5 lr=3.49e-05 | 22443 tok/s (avg 22443) ETA 0m00s | GPU 1.9/20.1GB | gtok=710633472
  [7] 50/19277 (0%) loss=3.5016 ppl=33.2 lr=3.48e-05 | 23698 tok/s (avg 23671) ETA 83m10s | GPU 1.9/20.1GB | gtok=710940672
  [7] 100/19277 (1%) loss=3.7533 ppl=42.7 lr=3.48e-05 | 23733 tok/s (avg 23702) ETA 82m50s | GPU 1.9/20.1GB | gtok=711247872
  [7] 150/19277 (1%) loss=3.6589 ppl=38.8 lr=3.47e-05 | 23723 tok/s (avg 23709) ETA 82m36s | GPU 1.9/20.1GB | gtok=711555072
  [7] 200/19277 (1%) loss=3.2930 ppl=26.9 lr=3.47e-05 | 23733 tok/s (avg 23715) ETA 82m22s | GPU 1.9/20.1GB | gtok=711862272
  [7] 250/19277 (1%) loss=3.5727 ppl=35.6 lr=3.47e-05 | 23734 tok/s (avg 23718) ETA 82m08s | GPU 1.9/20.1GB | gtok=712169472
  [7] 300/19277 (2%) loss=3.3030 ppl=27.2 lr=3.46e-05 | 23734 tok/s (avg 23721) ETA 81m55s | GPU 1.9/20.1GB | gtok=712476672
  [7] 350/19277 (2%) loss=3.8247 ppl=45.8 lr=3.46e-05 | 23733 tok/s (avg 23722) ETA 81m41s | GPU 1.9/20.1GB | gtok=712783872
  [7] 400/19277 (2%) loss=2.9980 ppl=20.0 lr=3.45e-05 | 23732 tok/s (avg 23724) ETA 81m28s | GPU 1.9/20.1GB | gtok=713091072
