[2026-05-09 07:39:42]   [1] batch 2949/19277 loss=5.8225 ppl=337.8 div=1.81e-02 wdiv=9.04e-04 lr=9.99e-05 | inst 12223 tok/s avg 11799 tok/s |  15.3% eta 2:16:47 | mem 2.1/21.0G peak 21.0G
[2026-05-09 07:40:07]   [1] batch 2999/19277 loss=5.3506 ppl=210.7 div=1.84e-02 wdiv=9.18e-04 lr=9.99e-05 | inst 12217 tok/s avg 11806 tok/s |  15.6% eta 2:16:25 | mem 2.1/21.0G peak 21.0G
[2026-05-09 07:40:33]   [1] batch 3049/19277 loss=5.5060 ppl=246.2 div=1.78e-02 wdiv=8.90e-04 lr=9.99e-05 | inst 12101 tok/s avg 11811 tok/s |  15.8% eta 2:17:18 | mem 2.1/21.0G peak 21.0G
[2026-05-09 07:40:58]   [1] batch 3099/19277 loss=5.5074 ppl=246.5 div=1.87e-02 wdiv=9.33e-04 lr=9.99e-05 | inst 12218 tok/s avg 11817 tok/s |  16.1% eta 2:15:34 | mem 2.1/21.0G peak 21.0G
[2026-05-09 07:41:23]   [1] batch 3149/19277 loss=5.3982 ppl=221.0 div=1.75e-02 wdiv=8.77e-04 lr=9.99e-05 | inst 12341 tok/s avg 11825 tok/s |  16.3% eta 2:13:49 | mem 2.1/21.0G peak 21.0G
[2026-05-09 07:41:48]   [1] batch 3199/19277 loss=5.4283 ppl=227.8 div=1.82e-02 wdiv=9.12e-04 lr=9.99e-05 | inst 12088 tok/s avg 11829 tok/s |  16.6% eta 2:16:11 | mem 2.1/21.0G peak 21.0G
[2026-05-09 07:42:13]   [1] batch 3249/19277 loss=5.4065 ppl=222.8 div=1.70e-02 wdiv=8.50e-04 lr=9.99e-05 | inst 12227 tok/s avg 11835 tok/s |  16.9% eta 2:14:13 | mem 2.1/21.0G peak 21.0G
[2026-05-09 07:42:38]   [1] batch 3299/19277 loss=5.6771 ppl=292.1 div=1.79e-02 wdiv=8.95e-04 lr=9.99e-05 | inst 12221 tok/s avg 11841 tok/s |  17.1% eta 2:13:52 | mem 2.1/21.0G peak 21.0G
[2026-05-09 07:43:04]   [1] batch 3349/19277 loss=5.2490 ppl=190.4 div=1.80e-02 wdiv=8.99e-04 lr=9.99e-05 | inst 12092 tok/s avg 11844 tok/s |  17.4% eta 2:14:52 | mem 2.1/21.0G peak 21.0G
[2026-05-09 07:43:29]   [1] batch 3399/19277 loss=5.5336 ppl=253.1 div=1.94e-02 wdiv=9.69e-04 lr=9.99e-05 | inst 12216 tok/s avg 11850 tok/s |  17.6% eta 2:13:05 | mem 2.1/21.0G peak 21.0G
[2026-05-09 07:43:54]   [1] batch 3449/19277 loss=5.3781 ppl=216.6 div=1.83e-02 wdiv=9.16e-04 lr=9.99e-05 | inst 12321 tok/s avg 11856 tok/s |  17.9% eta 2:11:32 | mem 2.1/21.0G peak 21.0G
[2026-05-09 07:44:19]   [1] batch 3499/19277 loss=5.3489 ppl=210.4 div=1.71e-02 wdiv=8.53e-04 lr=9.99e-05 | inst 12101 tok/s avg 11860 tok/s |  18.2% eta 2:13:30 | mem 2.1/21.0G peak 21.0G
[2026-05-09 07:44:44]   [1] batch 3549/19277 loss=5.3958 ppl=220.5 div=1.69e-02 wdiv=8.47e-04 lr=9.99e-05 | inst 12217 tok/s avg 11865 tok/s |  18.4% eta 2:11:49 | mem 2.1/21.0G peak 21.0G
