device=cuda preset=baseline_real dataset=tinystories
[cache] Loaded TinyStories train from .cache/v7_tokens/tinystories_train_v2_ms20000_sl256_r1.pt (4,465,139 tokens)
[cache] Loaded TinyStories validation from .cache/v7_tokens/tinystories_validation_v2_ms20000_sl256_r1.pt (388,958 tokens)
Train chunks: 17374, Val chunks: 1513
params: 161,972,192 (161.97M)
step 438  loss=3.6630  lr=4.98e-05
step 439  loss=3.8016  lr=4.98e-05
step 440  loss=3.9044  lr=4.98e-05
step 441  loss=3.5481  lr=4.98e-05
step 442  loss=3.7092  lr=4.98e-05
step 443  loss=3.6948  lr=4.98e-05
step 444  loss=3.6260  lr=4.98e-05
step 445  loss=3.6965  lr=4.98e-05
step 446  loss=3.5898  lr=4.98e-05
step 447  loss=3.6757  lr=4.98e-05
step 448  loss=3.7689  lr=4.98e-05
step 449  loss=3.8074  lr=4.98e-05
step 450  loss=3.7437  lr=4.98e-05
step 451  loss=3.9053  lr=4.98e-05
step 452  loss=3.7964  lr=4.98e-05
step 453  loss=3.6249  lr=4.98e-05
step 454  loss=3.7616  lr=4.98e-05
step 455  loss=3.7887  lr=4.98e-05
step 456  loss=3.8103  lr=4.97e-05
step 457  loss=3.9860  lr=4.97e-05
step 458  loss=3.6880  lr=4.97e-05
step 459  loss=3.5878  lr=4.97e-05
step 460  loss=3.7292  lr=4.97e-05
step 461  loss=3.8147  lr=4.97e-05
step 462  loss=3.8288  lr=4.97e-05
step 463  loss=3.8335  lr=4.97e-05
step 464  loss=3.4898  lr=4.97e-05
step 465  loss=3.6357  lr=4.97e-05
step 466  loss=3.6916  lr=4.97e-05
step 467  loss=3.4999  lr=4.97e-05
step 468  loss=3.9028  lr=4.97e-05
step 469  loss=3.6860  lr=4.97e-05
step 470  loss=3.6913  lr=4.97e-05
step 471  loss=3.7229  lr=4.97e-05
step 472  loss=3.6099  lr=4.97e-05
step 473  loss=3.5247  lr=4.97e-05
step 474  loss=3.7498  lr=4.97e-05
step 475  loss=3.6776  lr=4.97e-05
step 476  loss=4.0175  lr=4.97e-05
step 477  loss=3.4396  lr=4.97e-05
step 478  loss=3.6296  lr=4.97e-05
step 479  loss=3.5294  lr=4.97e-05
step 480  loss=3.5196  lr=4.97e-05
step 481  loss=3.5614  lr=4.97e-05
step 482  loss=3.4593  lr=4.97e-05
step 483  loss=3.4706  lr=4.97e-05
step 484  loss=3.7026  lr=4.97e-05
step 485  loss=3.6859  lr=4.97e-05
step 486  loss=3.6350  lr=4.97e-05
step 487  loss=3.3796  lr=4.97e-05
step 488  loss=3.4665  lr=4.97e-05
step 489  loss=3.5460  lr=4.97e-05
step 490  loss=3.8596  lr=4.97e-05
step 491  loss=3.8844  lr=4.97e-05
step 492  loss=3.7430  lr=4.97e-05
step 493  loss=3.9111  lr=4.97e-05
step 494  loss=3.6496  lr=4.97e-05
step 495  loss=3.5859  lr=4.97e-05
step 496  loss=3.5586  lr=4.97e-05
step 497  loss=3.6036  lr=4.97e-05
step 498  loss=3.7635  lr=4.97e-05
step 499  loss=3.7943  lr=4.97e-05
step 500  loss=3.6375  lr=4.97e-05
step 501  loss=3.6586  lr=4.97e-05
step 502  loss=3.7559  lr=4.97e-05
step 503  loss=3.7548  lr=4.97e-05
step 504  loss=3.6626  lr=4.97e-05
